Date	Open	Close
2009-08-11	118.029999	117.790001
2009-08-12	117.599998	119.290001
2009-08-13	119.279999	119.580002
2009-08-14	119.290001	118.57
2009-08-17	116.690002	116.860001
2009-08-18	116.809998	117.629997
2009-08-19	116.360001	118.57
2009-08-20	118.440002	118.949997
2009-08-21	119.650002	119.900002
2009-08-24	119.919998	119.32
2009-08-25	119.25	118.830002
2009-08-26	118.639999	119.470001
2009-08-27	118.730003	119.43
2009-08-28	120.099998	118.220001
2009-08-31	117.099998	118.050003
2009-09-01	117.669998	116.690002
2009-09-02	116.339996	116.089996
2009-09-03	116.550003	116.330002
2009-09-04	116.580002	117.459999
2009-09-08	117.940002	117.160004
2009-09-09	117.029999	116.760002
2009-09-10	116.989998	117.669998
2009-09-11	117.800003	118.050003
2009-09-14	117	118.879997
2009-09-15	118.779999	119.349998
2009-09-16	119.5	121.82
2009-09-17	121.139999	121.879997
2009-09-18	122.449997	122.110001
2009-09-21	121.029999	121.57
2009-09-22	122.089996	121.610001
2009-09-23	121.260002	120.82
2009-09-24	120.690002	120.940002
2009-09-25	120.269997	121.080002
2009-09-28	120.519997	119.330002
2009-09-29	119.360001	118.809998
2009-09-30	119.18	119.610001
2009-10-01	119.389999	117.900002
2009-10-02	117.400002	119.019997
2009-10-05	118.900002	119.75
2009-10-06	120.389999	121.349998
2009-10-07	121.120003	122.779999
2009-10-08	122.519997	122.290001
2009-10-09	122.43	125.93
2009-10-12	125.440002	127.040001
2009-10-13	126.220001	127.019997
2009-10-14	127.709999	128.350006
2009-10-15	127.559998	127.980003
2009-10-16	123.150002	121.639999
2009-10-19	121.760002	123.059998
2009-10-20	123.360001	122.82
2009-10-21	122.18	120.870003
2009-10-22	120.75	122.690002
2009-10-23	122.949997	120.360001
2009-10-26	120.610001	120.110001
2009-10-27	120.18	120.650002
2009-10-28	120.470001	121.5
2009-10-29	122.150002	122.870003
2009-10-30	122.629997	120.610001
2009-11-02	120.769997	120.559998
2009-11-03	119.529999	121.160004
2009-11-04	121.459999	121.290001
2009-11-05	122.120003	123.099998
2009-11-06	122.510002	123.489998
2009-11-09	123.919998	126
2009-11-10	125.300003	126.910004
2009-11-11	126.550003	127.190002
